北京联通组播本地台,#genre#
CCTV7-HD,http://home.hbpa.cc:9999/udp/239.253.92.194:6059
CCTV8-HD,http://home.hbpa.cc:9999/udp/239.253.92.195:6060
CCTV9-HD,http://home.hbpa.cc:9999/udp/239.253.92.107:6020
CCTV10-HD,http://home.hbpa.cc:9999/udp/239.253.92.196:6061
CCTV11-HD,http://home.hbpa.cc:9999/udp/239.253.93.153:6321
CCTV12-HD,http://home.hbpa.cc:9999/udp/239.253.92.197:6062
CCTV13-HD,http://home.hbpa.cc:9999/udp/239.253.92.13:8008
CCTV14-HD,http://home.hbpa.cc:9999/udp/239.253.92.198:6063
CCTV15-HD,http://home.hbpa.cc:9999/udp/239.253.93.154:6322
CCTV17-HD,http://home.hbpa.cc:9999/udp/239.253.93.150:6318
央视频道-4K,http://home.hbpa.cc:9999/udp/239.253.93.134:6631
欢笑剧场-4K,http://home.hbpa.cc:9999/udp/239.253.93.223:6401
欢笑剧场-4K,http://home.hbpa.cc:9999/udp/239.253.92.219:6228
CGTN英语-HD,http://home.hbpa.cc:9999/udp/239.253.92.15:8011
CGTN记录-HD,http://home.hbpa.cc:9999/udp/239.253.93.195:6373
CGTN西语-HD,http://home.hbpa.cc:9999/udp/239.253.93.196:6374
CGTN法语-HD,http://home.hbpa.cc:9999/udp/239.253.93.197:6375
CGTN阿语-HD,http://home.hbpa.cc:9999/udp/239.253.93.198:6376
CGTN俄语-HD,http://home.hbpa.cc:9999/udp/239.253.93.199:6377
CCTV4欧洲-HD,http://home.hbpa.cc:9999/udp/239.253.93.192:6370
CCTV4美洲-HD,http://home.hbpa.cc:9999/udp/239.253.93.193:6371
都市剧场-HD,http://home.hbpa.cc:9999/udp/239.253.93.227:6405
央视台球-HD,http://home.hbpa.cc:9999/udp/239.253.93.231:6409
电视指南-HD,http://home.hbpa.cc:9999/udp/239.253.93.249:6427
第一剧场-HD,http://home.hbpa.cc:9999/udp/239.253.93.138:6428
风云剧场-HD,http://home.hbpa.cc:9999/udp/239.253.93.251:6429
怀旧剧场-HD,http://home.hbpa.cc:9999/udp/239.253.93.252:6430
风云音乐-HD,http://home.hbpa.cc:9999/udp/239.253.93.253:6431
风云足球-HD,http://home.hbpa.cc:9999/udp/239.253.93.254:6432
央视网球-HD,http://home.hbpa.cc:9999/udp/239.253.93.122:6465
兵器科技-HD,http://home.hbpa.cc:9999/udp/239.253.93.47:6435
世界地理-HD,http://home.hbpa.cc:9999/udp/239.253.92.131:6113
女性时尚-HD,http://home.hbpa.cc:9999/udp/239.253.92.144:6114
文化精品-HD,http://home.hbpa.cc:9999/udp/239.253.93.175:6439
河北卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.154:6011
河北生活-HD,http://home.hbpa.cc:9999/udp/239.253.92.171:6001
河北都市-HD,http://home.hbpa.cc:9999/udp/239.253.92.172:6002
河北影视-HD,http://home.hbpa.cc:9999/udp/239.253.92.173:6003
河北少儿-HD,http://home.hbpa.cc:9999/udp/239.253.92.174:6004
河北公共-HD,http://home.hbpa.cc:9999/udp/239.253.92.175:6005
河北农民-HD,http://home.hbpa.cc:9999/udp/239.253.92.176:6006
三佳购物-HD,http://home.hbpa.cc:9999/udp/239.253.92.24:8130
睛彩河北-HD,http://home.hbpa.cc:9999/udp/239.253.92.104:6221
石家庄综合-HD,http://home.hbpa.cc:9999/udp/239.253.92.149:6035
石家庄娱乐-HD,http://home.hbpa.cc:9999/udp/239.253.92.93:8120
石家庄生活-HD,http://home.hbpa.cc:9999/udp/239.253.92.94:8121
石家庄都市-HD,http://home.hbpa.cc:9999/udp/239.253.92.95:8122
张家口综合-HD,http://home.hbpa.cc:9999/udp/239.253.92.225:8115
秦皇岛综合-HD,http://home.hbpa.cc:9999/udp/239.253.92.52:6021
秦皇岛公共-HD,http://home.hbpa.cc:9999/udp/239.253.92.53:6022
秦皇岛影视-HD,http://home.hbpa.cc:9999/udp/239.253.92.54:6023
唐山综合-HD,http://home.hbpa.cc:9999/udp/239.253.92.245:6089
唐山生活-HD,http://home.hbpa.cc:9999/udp/239.253.92.126:6026
唐山影视-HD,http://home.hbpa.cc:9999/udp/239.253.92.127:6027
唐山公共-HD,http://home.hbpa.cc:9999/udp/239.253.92.128:6028
廊坊综合-HD,http://home.hbpa.cc:9999/udp/239.253.92.164:6036
廊坊公共-HD,http://home.hbpa.cc:9999/udp/239.253.92.166:6037
保定综合-HD,http://home.hbpa.cc:9999/udp/239.253.93.2:6153
衡水综合-HD,http://home.hbpa.cc:9999/udp/239.253.93.3:6154
衡水公共-HD,http://home.hbpa.cc:9999/udp/239.253.93.7:6160
邢台综合-HD,http://home.hbpa.cc:9999/udp/239.253.93.8:6161
邢台生活-HD,http://home.hbpa.cc:9999/udp/239.253.93.10:6163
邯郸综合-HD,http://home.hbpa.cc:9999/udp/239.253.93.11:6164
邯郸公共-HD,http://home.hbpa.cc:9999/udp/239.253.93.12:6165
邯郸教育-HD,http://home.hbpa.cc:9999/udp/239.253.93.13:6166
湖南卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.84:8015
浙江卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.90:8020
江苏卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.88:8018
北京卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.87:8014
东南卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.201:6146
东方卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.89:8019
天津卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.91:8021
深圳卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.86:8017
山东卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.207:8109
广东卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.206:8108
黑龙江卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.85:8016
辽宁卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.115:6056
安徽卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.209:6566
湖北卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.210:6567
四川卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.16:6043
重庆卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.10:6053
河南卫视-HD,http://home.hbpa.cc:9999/udp/239.253.92.137:6144
